203H1                                                                                                                        ;    221265;    212221;203H1_2_213;         5;        51;2;         1;00203H1;    221265;    212221;P2G  ;S2 ;      -221259.61;               0;       433429
083H1                                                                                                                        ;    218185;    214563;083H1_3_416;         5;        51;3;         1;00083H1;    218185;    214563;P2G  ;S3 ;      -218179.66;               0;       432691
116H1                                                                                                                        ;    215954;    216490;116H1_1_321;         5;        51;1;         1;00116H1;    215954;    216490;P2G  ;S1 ;      -215948.69;               0;       432387
119H1                                                                                                                        ;    229483;    202914;119H1_4_213;         6;        51;4;         1;00119H1;    229483;    202914;P2G  ;S4 ;       -229477.5;               0;       432340
211H1                                                                                                                        ;    222742;    209447;211H1_1_414;         5;        51;1;         1;00211H1;    222742;    209447;P2G  ;S1 ;      -222736.59;               0;       432132
009H1                                                                                                                        ;    244460;    186860;009H1_2_414;         6;        51;2;         1;00009H1;    244460;    186860;P2G  ;S2 ;      -244454.29;               0;       431263
093A1                                                                                                                        ;    195525;    235520;093A1_1_315;         5;        51;1;         1;00093A1;    195525;    235520;P2G  ;S1 ;      -195519.98;               0;       430989
030H1                                                                                                                        ;    221254;    209595;030H1_1_414;         5;        51;1;         1;00030H1;    221254;    209595;P2G  ;S1 ;      -221248.61;               0;       430792
148H1                                                                                                                        ;    240820;    189820;148H1_1_315;         6;        51;1;         1;00148H1;    240820;    189820;P2G  ;S1 ;      -240814.34;               0;       430583
234A1                                                                                                                        ;    207565;    222940;234A1_2_121;         5;        51;2;         1;00234A1;    207565;    222940;P2G  ;S2 ;      -207559.81;               0;       430448
147H1                                                                                                                        ;    242492;    187930;147H1_1_417;         6;        51;1;         1;00147H1;    242492;    187930;P2G  ;S1 ;      -242486.32;               0;       430365
189H1                                                                                                                        ;    215509;    214890;189H1_1_116;         5;        51;1;         1;00189H1;    215509;    214890;P2G  ;S1 ;      -215503.69;               0;       430342
183H1                                                                                                                        ;    216782;    213260;183H1_1_416;         5;        51;1;         1;00183H1;    216782;    213260;P2G  ;S1 ;      -216776.68;               0;       429985
038H1                                                                                                                        ;    225680;    203850;038H1_1_213;         5;        51;1;         1;00038H1;    225680;    203850;P2G  ;S1 ;      -225674.55;               0;       429473
125H1                                                                                                                        ;    242640;    186700;125H1_3_414;         6;        51;3;         1;00125H1;    242640;    186700;P2G  ;S3 ;      -242634.31;               0;       429283
160H1                                                                                                                        ;    246514;    182800;160H1_1_317;         6;        51;1;         1;00160H1;    246514;    182800;P2G  ;S1 ;      -246508.26;               0;       429257
023H1                                                                                                                        ;    235462;    193728;023H1_6_414;         6;        51;6;         1;00023H1;    235462;    193728;P2G  ;S6 ;      -235456.41;               0;       429133
113H1                                                                                                                        ;    215885;    213098;113H1_2_213;         5;        51;2;         1;00113H1;    215885;    213098;P2G  ;S2 ;      -215879.69;               0;       428926
276H1                                                                                                                        ;    225740;    203080;276H1_1_313;         5;        51;1;         1;00276H1;    225740;    203080;P2G  ;S1 ;      -225734.55;               0;       428763
122H1                                                                                                                        ;    222700;    205800;122H1_6_414;         5;        51;6;         1;00122H1;    222700;    205800;P2G  ;S6 ;      -222694.59;               0;       428443
135H1                                                                                                                        ;    244075;    184402;135H1_1_216;         6;        51;1;         1;00135H1;    244075;    184402;P2G  ;S1 ;      -244069.29;               0;       428420
024H1                                                                                                                        ;    229660;    198600;024H1_1_414;         6;        51;1;         1;00024H1;    229660;    198600;P2G  ;S1 ;       -229654.5;               0;       428203
487A1                                                                                                                        ;    202480;    224820;487A1_1_213;         5;        51;1;         1;00487A1;    202480;    224820;P2G  ;S1 ;      -202474.88;               0;       427244
386A1                                                                                                                        ;    207195;    220077;386A1_1_213;         5;        51;1;         1;00386A1;    207195;    220077;P2G  ;S1 ;      -207189.81;               0;       427216
163H1                                                                                                                        ;    212760;    214437;163H1_2_414;         5;        51;2;         1;00163H1;    212760;    214437;P2G  ;S2 ;      -212754.73;               0;       427140
138H1                                                                                                                        ;    223719;    203444;138H1_1_412;         5;        51;1;         1;00138H1;    223719;    203444;P2G  ;S1 ;      -223713.58;               0;       427106
372A1                                                                                                                        ;    193726;    233422;372A1_1_305;         5;        51;1;         1;00372A1;    193726;    233422;P2G  ;S1 ;         -193721;               0;       427092
085A1                                                                                                                        ;    194770;    232315;085A1_1_420;         5;        51;1;         1;00085A1;    194770;    232315;P2G  ;S1 ;      -194764.99;               0;       427029
186H1                                                                                                                        ;    242741;    184307;186H1_2_213;         6;        51;2;         1;00186H1;    242741;    184307;P2G  ;S2 ;      -242735.31;               0;       426991
137H1                                                                                                                        ;    236480;    190180;137H1_1_414;         6;        51;1;         1;00137H1;    236480;    190180;P2G  ;S1 ;       -236474.4;               0;       426603
010H3                                                                                                                        ;    211513;    215007;010H3_1_213;         5;        51;1;         1;00010H3;    211513;    215007;P2G  ;S1 ;      -211507.75;               0;       426464
029H1                                                                                                                        ;    214595;    211910;029H1_2_414;         5;        51;2;         1;00029H1;    214595;    211910;P2G  ;S2 ;      -214589.71;               0;       426448
023A3                                                                                                                        ;    203300;    223180;023A3_1_213;         5;        51;1;         1;00023A3;    203300;    223180;P2G  ;S1 ;      -203294.87;               0;       426424
063A1                                                                                                                        ;    200960;    225515;063A1_2_414;         5;        51;2;         1;00063A1;    200960;    225515;P2G  ;S2 ;       -200954.9;               0;       426419
292H1                                                                                                                        ;    238300;    188113;292H1_1_317;         6;        51;1;         1;00292H1;    238300;    188113;P2G  ;S1 ;      -238294.37;               0;       426356
044H1                                                                                                                        ;    243262;    182988;044H1_3_320;         6;        51;3;         1;00044H1;    243262;    182988;P2G  ;S3 ;      -243256.31;               0;       426193
162H1                                                                                                                        ;    219399;    206432;162H1_1_313;         5;        51;1;         1;00162H1;    219399;    206432;P2G  ;S1 ;      -219393.64;               0;       425774
313A1                                                                                                                        ;    188775;    236945;313A1_2_415;         5;        51;2;         1;00313A1;    188775;    236945;P2G  ;S2 ;      -188770.07;               0;       425664
240H1                                                                                                                        ;    213195;    212416;240H1_1_418;         5;        51;1;         1;00240H1;    213195;    212416;P2G  ;S1 ;      -213189.73;               0;       425555
247H1                                                                                                                        ;    242186;    182078;247H1_1_317;         6;        51;1;         1;00247H1;    242186;    182078;P2G  ;S1 ;      -242180.32;               0;       424207
127H1                                                                                                                        ;    231331;    192625;127H1_2_213;         6;        51;2;         1;00127H1;    231331;    192625;P2G  ;S2 ;      -231325.47;               0;       423899
154H1                                                                                                                        ;    239959;    183994;154H1_2_414;         6;        51;2;         1;00154H1;    239959;    183994;P2G  ;S2 ;      -239953.35;               0;       423896
124H1                                                                                                                        ;    244034;    179735;124H1_3_415;         6;        51;3;         1;00124H1;    244034;    179735;P2G  ;S3 ;       -244028.3;               0;       423712
031H1                                                                                                                        ;    221179;    202580;031H1_3_213;         5;        51;3;         1;00031H1;    221179;    202580;P2G  ;S3 ;      -221173.62;               0;       423702
257A1                                                                                                                        ;    199800;    223740;257A1_1_414;         5;        51;1;         1;00257A1;    199800;    223740;P2G  ;S1 ;      -199794.92;               0;       423484
128H1                                                                                                                        ;    234616;    188801;128H1_3_414;         6;        51;3;         1;00128H1;    234616;    188801;P2G  ;S3 ;      -234610.43;               0;       423360
266A1                                                                                                                        ;    190743;    232461;266A1_2_315;         5;        51;2;         1;00266A1;    190743;    232461;P2G  ;S2 ;      -190738.05;               0;       423148
263H1                                                                                                                        ;    243189;    179942;263H1_1_318;         6;        51;1;         1;00263H1;    243189;    179942;P2G  ;S1 ;      -243183.31;               0;       423074
182H1                                                                                                                        ;    225163;    197756;182H1_1_414;         5;        51;1;         1;00182H1;    225163;    197756;P2G  ;S1 ;      -225157.56;               0;       422862
102A1                                                                                                                        ;    201370;    221210;102A1_2_121;         5;        51;2;         1;00102A1;    201370;    221210;P2G  ;S2 ;       -201364.9;               0;       422524
258A1                                                                                                                        ;    193347;    229003;258A1_1_116;         5;        51;1;         1;00258A1;    193347;    229003;P2G  ;S1 ;      -193342.01;               0;       422294
053H1                                                                                                                        ;    237438;    184379;053H1_3_115;         6;        51;3;         1;00053H1;    237438;    184379;P2G  ;S3 ;      -237432.39;               0;       421760
263A1                                                                                                                        ;    203080;    218640;263A1_1_415;         5;        51;1;         1;00263A1;    203080;    218640;P2G  ;S1 ;      -203074.87;               0;       421664
198H1                                                                                                                        ;    242379;    179276;198H1_1_414;         6;        51;1;         1;00198H1;    242379;    179276;P2G  ;S1 ;      -242373.32;               0;       421598
267A1                                                                                                                        ;    180490;    240760;267A1_3_415;         5;        51;3;         1;00267A1;    180490;    240760;P2G  ;S3 ;      -180485.19;               0;       421194
406A1                                                                                                                        ;    208844;    212251;406A1_1_216;         5;        51;1;         1;00406A1;    208844;    212251;P2G  ;S1 ;      -208838.79;               0;       421039
112H1                                                                                                                        ;    213750;    206890;112H1_1_213;         5;        51;1;         1;00112H1;    213750;    206890;P2G  ;S1 ;      -213744.72;               0;       420584
011H3                                                                                                                        ;    231655;    188978;011H3_1_312;         6;        51;1;         1;00011H3;    231655;    188978;P2G  ;S1 ;      -231649.47;               0;       420576
014H3                                                                                                                        ;    232174;    187825;014H3_1_217;         6;        51;1;         1;00014H3;    232174;    187825;P2G  ;S1 ;      -232168.46;               0;       419942
007H1                                                                                                                        ;    230330;    189425;007H1_2_320;         6;        51;2;         1;00007H1;    230330;    189425;P2G  ;S2 ;      -230324.49;               0;       419698
018H1                                                                                                                        ;    242110;    177420;018H1_4_119;         6;        51;4;         1;00018H1;    242108;    177422;P2G  ;S4 ;      -242102.32;               0;       419473
287A1                                                                                                                        ;    209584;    209913;287A1_1_213;         5;        51;1;         1;00287A1;    209584;    209913;P2G  ;S1 ;      -209578.78;               0;       419441
243A1                                                                                                                        ;    192947;    226197;243A1_2_213;         5;        51;2;         1;00243A1;    192947;    226197;P2G  ;S2 ;      -192942.02;               0;       419088
421L1                                                                                                                        ;    277467;    141492;421L1_1_416;         6;        51;1;         1;00421L1;    277470;    141480;P2G  ;S1 ;      -277463.83;               0;       418893
421L1                                                                                                                        ;    277470;    141480;421L1_1_416;         6;        51;1;         1;00421L1;    277470;    141480;P2G  ;S1 ;      -277463.83;               0;       418893
275A1                                                                                                                        ;    206292;    212576;275A1_1_119;         5;        51;1;         1;00275A1;    206292;    212576;P2G  ;S1 ;      -206286.83;               0;       418812
243H1                                                                                                                        ;    232587;    186141;243H1_1_117;         6;        51;1;         1;00243H1;    232587;    186141;P2G  ;S1 ;      -232581.46;               0;       418671
058H1                                                                                                                        ;    227548;    191006;058H1_3_213;         5;        51;3;         1;00058H1;    227548;    191006;P2G  ;S3 ;      -227542.53;               0;       418498
008H1                                                                                                                        ;    233170;    185180;008H1_5_414;         6;        51;5;         1;00008H1;    233170;    185180;P2G  ;S5 ;      -233164.45;               0;       418293
190H1                                                                                                                        ;    228995;    189171;190H1_2_414;         5;        51;2;         1;00190H1;    228995;    189171;P2G  ;S2 ;      -228989.51;               0;       418109
052H1                                                                                                                        ;    230560;    187560;052H1_1_306;         6;        51;1;         1;00052H1;    230560;    187560;P2G  ;S1 ;      -230554.49;               0;       418063
264A1                                                                                                                        ;    199620;    218320;264A1_1_116;         5;        51;1;         1;00264A1;    199620;    218320;P2G  ;S1 ;      -199614.92;               0;       417884
123H1                                                                                                                        ;    220873;    196947;123H1_1_414;         5;        51;1;         1;00123H1;    220873;    196947;P2G  ;S1 ;      -220867.62;               0;       417764
067A1                                                                                                                        ;    201580;    216110;067A1_1_213;         5;        51;1;         1;00067A1;    201580;    216110;P2G  ;S1 ;      -201574.89;               0;       417634
753A1                                                                                                                        ;    192160;    225356;753A1_1_318;         5;        51;1;         1;00753A1;    192160;    225356;P2G  ;S1 ;      -192155.03;               0;       417460
244A1                                                                                                                        ;    193425;    223750;244A1_1_213;         5;        51;1;         1;00244A1;    193425;    223750;P2G  ;S1 ;      -193420.01;               0;       417119
425A1                                                                                                                        ;    202360;    214795;425A1_1_217;         5;        51;1;         1;00425A1;    202360;    214795;P2G  ;S1 ;      -202354.88;               0;       417099
032H1                                                                                                                        ;    222195;    194950;032H1_1_213;         5;        51;1;         1;00032H1;    222195;    194950;P2G  ;S1 ;       -222189.6;               0;       417089
