32459A1_1     ;32459A1_1_1     ;3085_UARFCN                                       ;         1
32459A1_1     ;32459A1_1_3     ;3085_UARFCN                                       ;         1
32459A1_1     ;32459A1_1_2     ;3085_UARFCN                                       ;         1
30092W1_2_117 ;30092W1_2_117_7 ;3085_UARFCN                                       ;         1
30092W1_2_117 ;30092W1_2_117_8 ;3085_UARFCN                                       ;         1
30092W1_2_117 ;30092W1_2_117_9 ;3085_UARFCN                                       ;         1
30092W1_2_117 ;30092W1_2_117_13;10836_UARFCN                                      ;         1
30092W1_2_117 ;30092W1_2_117_15;10836_UARFCN                                      ;         1
30092W1_2_117 ;30092W1_2_117_14;10836_UARFCN                                      ;         1
30636F1_1     ;30636F1_1_3     ;3085_UARFCN                                       ;         1
30636F1_1     ;30636F1_1_1     ;3085_UARFCN                                       ;         1
30636F1_1     ;30636F1_1_2     ;3085_UARFCN                                       ;         1
30434C1_1_122 ;30434C1_1_122_8 ;3085_UARFCN                                       ;         1
30434C1_1_122 ;30434C1_1_122_7 ;3085_UARFCN                                       ;         1
30434C1_1_122 ;30434C1_1_122_13;10836_UARFCN                                      ;         1
30434C1_1_122 ;30434C1_1_122_9 ;3085_UARFCN                                       ;         1
30434C1_1_122 ;30434C1_1_122_14;10836_UARFCN                                      ;         1
30434C1_1_122 ;30434C1_1_122_15;10836_UARFCN                                      ;         1
30265F1_2_414 ;30265F1_2_414_1 ;3085_UARFCN                                       ;         1
30265F1_2_414 ;30265F1_2_414_2 ;3085_UARFCN                                       ;         1
30265F1_2_414 ;30265F1_2_414_3 ;3085_UARFCN                                       ;         1
30529F1_6_216 ;30529F1_6_216_1 ;3085_UARFCN                                       ;         1
30529F1_6_216 ;30529F1_6_216_2 ;3085_UARFCN                                       ;         1
30529F1_6_216 ;30529F1_6_216_3 ;3085_UARFCN                                       ;         1
30529F1_6_216 ;30529F1_6_216_7 ;10811_UARFCN                                      ;         1
30529F1_6_216 ;30529F1_6_216_8 ;10811_UARFCN                                      ;         1
30529F1_6_216 ;30529F1_6_216_9 ;10811_UARFCN                                      ;         1
30529F1_6_216 ;30529F1_6_216_13;10836_UARFCN                                      ;         1
30529F1_6_216 ;30529F1_6_216_15;10836_UARFCN                                      ;         1
30529F1_6_216 ;30529F1_6_216_14;10836_UARFCN                                      ;         1
30343F1_1     ;30343F1_1_3     ;3085_UARFCN                                       ;         1
30343F1_1     ;30343F1_1_2     ;3085_UARFCN                                       ;         1
30343F1_1     ;30343F1_1_1     ;3085_UARFCN                                       ;         1
31107A1_1     ;31107A1_1_2     ;3085_UARFCN                                       ;         1
31107A1_1     ;31107A1_1_1     ;3085_UARFCN                                       ;         1
31107A1_1     ;31107A1_1_3     ;3085_UARFCN                                       ;         1
31192A1_1     ;31192A1_1_1     ;3085_UARFCN                                       ;         1
31192A1_1     ;31192A1_1_3     ;3085_UARFCN                                       ;         1
31192A1_1     ;31192A1_1_2     ;3085_UARFCN                                       ;         1
30683A1_1_321 ;30683A1_1_321_13;10836_UARFCN                                      ;         1
30683A1_1_321 ;30683A1_1_321_14;10836_UARFCN                                      ;         1
30683A1_1_321 ;30683A1_1_321_15;10836_UARFCN                                      ;         1
30277A1_1_321 ;30277A1_1_321_13;10836_UARFCN                                      ;         1
30277A1_1_321 ;30277A1_1_321_14;10836_UARFCN                                      ;         1
30277A1_1_321 ;30277A1_1_321_15;10836_UARFCN                                      ;         1
30667A1_1_321 ;30667A1_1_321_14;10836_UARFCN                                      ;         1
30667A1_1_321 ;30667A1_1_321_13;10836_UARFCN                                      ;         1
