30003H1_2_418 ;H30003-KURINGEN_2                                                                                                                                                                                                                                              ;KURINGEN_2                                                                                                                                                                                                                                              ;KURINGEN                                               ;         1;U    ;046H1_2                       ;2046H1_418     ;H046-KURINGEN                                               ;         1
30003N1_2_321 ;N30003-E42_TEMPLOUX_CAMPING                                                                                                                                                                                                                                    ;E42_TEMPLOUX_CAMPING                                                                                                                                                                                                                                    ;NAM_TEMPLOUX_CAMPING                                   ;         1;U    ;095N1_6                       ;6095N1_114     ;N095-NAM_TEMPLOUX_CAMPING                                   ;         1
30004F5_1_219 ;F30004-NMBS_ZAV_STATION_3G                                                                                                                                                                                                                                     ;NMBS_ZAV_STATION_3G                                                                                                                                                                                                                                     ;ZAVENTEM_STATION                                       ;         1;U    ;004F5_1                       ;1004F5_219     ;F004-ZAVENTEM_STATION                                       ;         1
30030A3_1_212 ;A30030-PKG_KORENMARKT_MECH_3G                                                                                                                                                                                                                                  ;PKG_KORENMARKT_MECH_3G                                                                                                                                                                                                                                  ;PKG_KORENMARKT_MECHELEN                                ;         1;U    ;030A3_1                       ;1030A3_413     ;A030-PKG_KORENMARKT_MECHELEN                                ;         1
30030B1_1_420 ;B30030-BXL_MANATHAN_BD                                                                                                                                                                                                                                         ;BXL_MANATHAN_BD                                                                                                                                                                                                                                         ;BXL_MANATHAN_BD_MAX                                    ;         1;U    ;182B1_1                       ;1182B1_121     ;B182-BXL_MANATHAN_BD_MAX                                    ;         1
30031B3_1_420 ;B30031-PALAIS_DES_CONGRES_3G                                                                                                                                                                                                                                   ;PALAIS_DES_CONGRES_3G                                                                                                                                                                                                                                   ;PALAIS_DES_CONGRES                                     ;         1;U    ;031B3_1                       ;1031B3_212     ;B031-PALAIS_DES_CONGRES                                     ;         1
30059W1_2_119 ;W30059-WAVRE_CENTR                                                                                                                                                                                                                                             ;WAVRE_CENTR                                                                                                                                                                                                                                             ;WAVRE_CENTRE                                           ;         1;U    ;155W1_5                       ;5155W1_121     ;W155-WAVRE_CENTRE                                           ;         1
30060A1_1_321 ;A30060-A12_BOOM                                                                                                                                                                                                                                                ;A12_BOOM                                                                                                                                                                                                                                                ;BOOM                                                   ;         1;U    ;216A1_3                       ;3216A1_312     ;A216-BOOM                                                   ;         1
30060B1_1_114 ;B30060-IXL_CRESPEL_SECRET                                                                                                                                                                                                                                      ;IXL_CRESPEL_SECRET                                                                                                                                                                                                                                      ;IXL_RUE_CRESPEL_SECRET_E                               ;         1;U    ;188B1_3                       ;3188B1_121     ;B188-IXL_RUE_CRESPEL_SECRET_E                               ;         1
30060C1_1_413 ;C30060-MARCHIENNES_PT                                                                                                                                                                                                                                          ;MARCHIENNES_PT                                                                                                                                                                                                                                          ;MARCHIENNES_AU_PONT_SUD                                ;         1;U    ;051C1_6                       ;6051C1_313     ;C051-MARCHIENNES_AU_PONT_SUD                                ;         1
30060H1_1_321 ;H30060-HAS_PAALSTEENSTRAAT                                                                                                                                                                                                                                     ;HAS_PAALSTEENSTRAAT                                                                                                                                                                                                                                     ;BANNEUX                                                ;         1;U    ;194H1_1                       ;1194H1_418     ;H194-BANNEUX                                                ;         1
30099C1_1_213 ;C30099-LEROEUL                                                                                                                                                                                                                                                 ;LEROEUL                                                                                                                                                                                                                                                 ;LEROEULX                                               ;         1;U    ;095C1_4                       ;4095C1_414     ;C095-LEROEULX                                               ;         1
30099N1_1_321 ;N30099-NAM_RUEDESURSULINES                                                                                                                                                                                                                                     ;NAM_RUEDESURSULINES                                                                                                                                                                                                                                     ;NAMUR_WEST                                             ;         1;U    ;250N1_3                       ;3250N1_119     ;N250-NAMUR_WEST                                             ;         1
30004N1_2_320 ;N30004-E42_EMINES                                                                                                                                                                                                                                              ;E42_EMINES                                                                                                                                                                                                                                              ;A15_EMINES                                             ;         1;U    ;020N1_1                       ;1020N1_320     ;N020-A15_EMINES                                             ;         1
30005B5_1_313 ;B30005-LOUISE_TUNNEL                                                                                                                                                                                                                                           ;LOUISE_TUNNEL                                                                                                                                                                                                                                           ;BXL_LOUISA                                             ;         1;U    ;005B5_1                       ;1005B5_212     ;B005-BXL_LOUISA                                             ;         1
30005F1_2_214 ;F30005-BOUTERSEM_E40_A3                                                                                                                                                                                                                                        ;BOUTERSEM_E40_A3                                                                                                                                                                                                                                        ;BOUTERSEM                                              ;         1;U    ;369F1_1                       ;1369F1_213     ;F369-BOUTERSEM                                              ;         1
30031N1_1_315 ;N30031-JEMEPPE_MOUSTIE                                                                                                                                                                                                                                         ;JEMEPPE_MOUSTIE                                                                                                                                                                                                                                         ;JEMEPPE_MOUSTIER                                       ;         1;U    ;060N1_9                       ;9060N1_414     ;N060-JEMEPPE_MOUSTIER                                       ;         1
30031W1_1_320 ;W30031-NIVELLE                                                                                                                                                                                                                                                 ;NIVELLE                                                                                                                                                                                                                                                 ;NIVELLES                                               ;         1;U    ;039W1_3                       ;3039W1_320     ;W039-NIVELLES                                               ;         1
30032F1_1_122 ;F30032-NIJ_AUTOHANDEL                                                                                                                                                                                                                                          ;NIJ_AUTOHANDEL                                                                                                                                                                                                                                          ;LEUVEN_SUD                                             ;         1;U    ;258F1_1                       ;1258F1_312     ;F258-LEUVEN_SUD                                             ;         1
30062A1_1_321 ;A30062-E313_ST_JANSKAPEL                                                                                                                                                                                                                                       ;E313_ST_JANSKAPEL                                                                                                                                                                                                                                       ;A13_ST_JANSKAPEL                                       ;         1;U    ;054A1_1                       ;1054A1_121     ;A054-A13_ST_JANSKAPEL                                       ;         1
30062C1_1_413 ;C30062-RESSAI                                                                                                                                                                                                                                                  ;RESSAI                                                                                                                                                                                                                                                  ;RESSAIX                                                ;         1;U    ;178C1_2                       ;2178C1_213     ;C178-RESSAIX                                                ;         1
30100C1_1_413 ;C30100-MARCHE_ECAUSSIN                                                                                                                                                                                                                                         ;MARCHE_ECAUSSIN                                                                                                                                                                                                                                         ;MARCHE_LEZ_ECAUSSINNES                                 ;         1;U    ;260C1_1                       ;1260C1_414     ;C260-MARCHE_LEZ_ECAUSSINNES                                 ;         1
30101O1_1_420 ;O30101-ZEEBRUGGE_VISS                                                                                                                                                                                                                                          ;ZEEBRUGGE_VISS                                                                                                                                                                                                                                          ;ZEEBRUGGE_VISSERIJ                                     ;         1;U    ;256O1_2                       ;2256O1_121     ;O256-ZEEBRUGGE_VISSERIJ                                     ;         1
30006B5_1_114 ;B30006-MONTGOMERY_3G                                                                                                                                                                                                                                           ;MONTGOMERY_3G                                                                                                                                                                                                                                           ;MONTGOMERY                                             ;         1;U    ;006B5_1                       ;1006B5_212     ;B006-MONTGOMERY                                             ;         1
30007B5_1_114 ;B30007-BXL_REYERS_3G                                                                                                                                                                                                                                           ;BXL_REYERS_3G                                                                                                                                                                                                                                           ;BXL_REYERS_1_ET_2                                      ;         1;U    ;007B5_1                       ;1007B5_212     ;B007-BXL_REYERS_1_ET_2                                      ;         1
30033A1_1_320 ;A30033-MEC_EAST                                                                                                                                                                                                                                                ;MEC_EAST                                                                                                                                                                                                                                                ;MKT_MECHEAST                                           ;         1;U    ;326A1_2                       ;2326A1_320     ;A326-MKT_MECHEAST                                           ;         1
30062N1_3_321 ;N30062-JAMBES_MEUSE                                                                                                                                                                                                                                            ;JAMBES_MEUSE                                                                                                                                                                                                                                            ;LA_PLANTE                                              ;         1;U    ;275N1_1                       ;1275N1_413     ;N275-LA_PLANTE                                              ;         1
30063R1_1_216 ;R30063-BER_ALOUETTES                                                                                                                                                                                                                                           ;BER_ALOUETTES                                                                                                                                                                                                                                           ;BERTRIX_NORTH                                          ;         1;U    ;219R1_5                       ;5219R1_216     ;R219-BERTRIX_NORTH                                          ;         1
30064A1_1_321 ;A30064-E313_MASSENHOVEN                                                                                                                                                                                                                                        ;E313_MASSENHOVEN                                                                                                                                                                                                                                        ;A13_MASSENNOVEN                                        ;         1;U    ;104A1_2                       ;2104A1_213     ;A104-A13_MASSENNOVEN                                        ;         1
30064B1_1_421 ;B30064-IXL_BONIFAC                                                                                                                                                                                                                                             ;IXL_BONIFAC                                                                                                                                                                                                                                             ;IXL_RUE_DU_VIADUC_BONIFA                               ;         1;U    ;189B1_1                       ;1189B1_212     ;B189-IXL_RUE_DU_VIADUC_BONIFA                               ;         1
30064C1_1_413 ;C30064-MONT_SUR_MARCHIENN                                                                                                                                                                                                                                      ;MONT_SUR_MARCHIENN                                                                                                                                                                                                                                      ;MONT_SUR_MARCHIENNE                                    ;         1;U    ;192C1_3                       ;3192C1_313     ;C192-MONT_SUR_MARCHIENNE                                    ;         1
30104C1_1_122 ;C30104-FARCIENNES_CHAMPIO                                                                                                                                                                                                                                      ;FARCIENNES_CHAMPIO                                                                                                                                                                                                                                      ;FARCIENNES_CHAMPION                                    ;         1;U    ;028C1_4                       ;4028C1_414     ;C028-FARCIENNES_CHAMPION                                    ;         1
